#TSV
#============Begin of sheet============
@Sheet=LevelInfo
LevelID	BGType	MapID	LevelMode	LevelName	UIShowLevelTarget	ShowMonsterName	ShowMonsterID	UIDropList	DailyFirstUIDropList	UIWarningDropList	UIEntrustNpc	LevelDesc	Difficulty	LevelLv	MonsterLv	IsStarHunt	关联活动ID	解锁类型	基本解锁条件类别	基本解锁条件参数	额外解锁条件1类别	额外解锁条件1参数1	额外解锁条件1参数2	额外解锁条件2类别	额外解锁条件2参数1	额外解锁条件2参数2	需求等级类别	需求等级参数	消耗狩猎券	支付契约金	额外需求条件类别	需求条件参数1	需求条件参数2	允许匹配的武器等级	允许匹配的防具等级总和	HunterBox	MonsterOverView	FinishCountDown	InitScore	BossID	WeatherID	QuestMode	逻辑关卡组ID	逻辑关卡组Name	monsterlevel_rule	BOSS_match	BOSS_攻击系数	BOSS_属性攻击系数	BOSS_HP系数	BOSS_等级浮动	小怪_match	小怪_攻击系数	小怪_属性攻击系数	小怪_HP系数	小怪_等级浮动	BossPBMul	BossLBMul	BossFDMul	BOSS多人因子开关	小怪多人因子开关	BossPoisonMul	BossParalysisMul	BossSleepMul	BossDynamiteMul	BossStunMul	BossPoisonOpen	BossParalysisOpen	BossSleepOpen	BossDynamiteisOpen	BossStunOpen	OffcerLv	OffcierHR	WarningGroupID	EnableLemonSystem	DisableCatFood	EnableSoulStone	BigRandLvMin	BigRandLvMax	BigRandWeaponLvMin	BigRandWeaponLvMax	BigRandArmorLvMin	BigRandArmorLvMax	WeaponLimit	狩猎包开关	解锁等级	需求玩家等级
100201	1	1002	1	试炼！大野猪王	狩猎大野猪王	大野猪王	60030	21113;21086;21454;19998;1587		1587		对气味很敏感，喜欢用巨齿挖掘食物的巨大野猪，非常讨厌人类。	1	10	10	1		1	需求人物等级	10							需求人物等级	10	1									60		60030	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	20	0					20	40	20	40	50	200		10888		
100202	1	1002	1	挑战！大野猪王	狩猎大野猪王	大野猪王	60030	21114;21087;21454;19998;1587		1587		对气味很敏感，喜欢用巨齿挖掘食物的巨大野猪，非常讨厌人类。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60030	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4002				90	110	90	110	400	550		10889		
100203	1	1002	15	极限！大野猪王	狩猎大野猪王	大野猪王	60030					对气味很敏感，喜欢用巨齿挖掘食物的巨大野猪，非常讨厌人类。	3	40	40												需求人物等级	9999										60		60030	201	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100211	1	1002	1	试炼！大怪鸟	狩猎大怪鸟	大怪鸟	60040	21113;21086;21454;19998;1587		1587		鸟龙中最胆小也最常见的一类，多见于密林中，靠捕食虫子为生。	1	20	20	1		1	需求人物等级	20							需求人物等级	20	1									60		60040	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	30	0					30	50	30	50	100	250		10890		
100212	1	1002	1	挑战！大怪鸟	狩猎大怪鸟	大怪鸟	60040	21114;21087;21454;19998;1587		1587		鸟龙中最胆小也最常见的一类，多见于密林中，靠捕食虫子为生。	2	80	80	1		1	需求人物等级	80							需求人物等级	80	1					70	325			60		60040	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4002				90	110	90	110	400	550		10891		
100213	1	1002	15	烫！盾虫锅物	狩猎极限态大怪鸟	极限态大怪鸟	60043	2578;2670;21454			囊中羞涩的美食家	你看看我的这条舌头，是要尝遍天下美食的舌头。听说这个季节的盾虫火锅味道非常肥美，我吃不起食坊斋，就麻烦您去林子给我弄一点吧。要小心哦，爱吃盾虫的可不止我一个哦。	3	40	55			1			猎人星级卡片解锁	15056					需求人物等级	40	2									60		60043	201	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100214	1	1002	46	奇烈！大怪鸟	狩猎大怪鸟	大怪鸟	60040	21478			西撒	大怪鸟受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60040	201	46			0	1	1.2	1.2	1.5	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100221	1	1002	1	试炼！鬼狩蛛	狩猎鬼狩蛛	鬼狩蛛	60050	21113;21086;21454;19998;1587		1587		可怕的大型甲壳种生物，会在瞬间喷出大量蛛丝限制猎物的行动。	1	30	30	1		1	需求人物等级	30							需求人物等级	30	1									60		60050	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	40	0					40	60	40	60	150	300		10892		
100222	1	1002	1	挑战！鬼狩蛛	狩猎鬼狩蛛	鬼狩蛛	60050	21114;21087;21454;19998;1587		1587		可怕的大型甲壳种生物，会在瞬间喷出大量蛛丝限制猎物的行动。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60050	201	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4002				90	110	90	110	400	550		10893		
100223	1	1002	15	洞窟中的秘闻	狩猎极限态鬼狩蛛	极限态鬼狩蛛	60053	2582;2669;21454			窘迫的舞者	你能相信吗？就在我收到乱步奇面舞会招待状的前一天，我的面具坏掉了！呜呜呜呜，我不能参加了。也许你可以帮我做一个新面具？就在那幽深的洞窟里，用秘闻中的鬼面做成的面具，一定能让我成为焦点。	3	40	55			1			猎人星级卡片解锁	15084					需求人物等级	40	2									60		60053	201	15			0	1	1.1	1.1	1.4	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100224	1	1002	46	奇烈！鬼狩蛛	狩猎鬼狩蛛	鬼狩蛛	60050	21478			西撒	鬼狩蛛受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60050	201	46			0	1	1.2	1.2	1.5	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100204	1	1002	46	奇烈！鬼狩蛛	狩猎鬼狩蛛	鬼狩蛛	60050	21478			西撒	鬼狩蛛受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60050	201	46			0	1	1.2	1.2	1.5	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100301	1	1003	1	试炼！黄速龙王	狩猎黄速龙王	黄速龙王	60060	21113;21086;21454;19998;1587		1587		在沙漠中栖息的速龙，爪牙具有麻痹毒素，喜欢围攻大型猎物。	1	20	20			1	需求人物等级	20							需求人物等级	20	1									60		60060	301	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	30	0					30	50	30	50	100	250		10894		
100302	1	1003	1	挑战！黄速龙王	狩猎黄速龙王	黄速龙王	60060	21114;21087;21454;19998;1587		1587		在沙漠中栖息的速龙，爪牙具有麻痹毒素，喜欢围攻大型猎物。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60060	301	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4003				90	110	90	110	400	550		10895		
100303	1	1003	15	极限！黄速龙王	狩猎黄速龙王	黄速龙王	60060					在沙漠中栖息的速龙，爪牙具有麻痹毒素，喜欢围攻大型猎物。	3	40	40												需求人物等级	9999										60		60060	301	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100311	1	1003	1	试炼！沙狸兽	狩猎沙狸兽	沙狸兽	60011	21113;21086;21454;19998;1587		1587		牙兽种，河狸兽的亚种，在沙漠中生活养成了和表亲不同的习性。	1	30	30	1		1	需求人物等级	30							需求人物等级	30	1									60		60011	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	40	0					40	60	40	60	150	300		10896		
100312	1	1003	1	挑战！沙狸兽	狩猎沙狸兽	沙狸兽	60011	21114;21087;21454;19998;1587		1587		牙兽种，河狸兽的亚种，在沙漠中生活养成了和表亲不同的习性。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60011	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4003				90	110	90	110	400	550		10897		
100313	1	1003	15	极限！沙狸兽	狩猎沙狸兽	沙狸兽	60011					牙兽种，河狸兽的亚种，在沙漠中生活养成了和表亲不同的习性。	3	40	40												需求人物等级	9999										60		60011	302	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100321	1	1003	1	试炼！沙雷鸟	狩猎沙雷鸟	沙雷鸟	60090	21113;21086;21454;19998;1587		1587		狂暴攻击进入领地一切生物的鸟龙种，被称为“沙雷”的物质爆炸后威力巨大。	1	40	40	1		1	需求人物等级	40							需求人物等级	40	1									60		60090	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350		10898		
100322	1	1003	1	挑战！沙雷鸟	狩猎沙雷鸟	沙雷鸟	60090	21114;21087;21454;19998;1587		1587		狂暴攻击进入领地一切生物的鸟龙种，被称为“沙雷”的物质爆炸后威力巨大。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60090	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4003				90	110	90	110	400	550		10899		
100323	1	1003	15	建御·风聚雷蕴	狩猎极限态沙雷鸟	极限态沙雷鸟	60092	2576;2668;21454			一掷千金的豪客	没错我很有钱，但是，我很寂寞！从上次之后我再也没有听到过那种，比金钱更为振聋发聩的声响，我相信那种声音一定来自于雷神。现在机会来了，我已经带好了收录设备，快带我去谒见神明吧！	3	40	55			1			猎人星级卡片解锁	15056					需求人物等级	40	2									60		60092	302	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100331	1	1003	1	试炼！沙龙王	狩猎沙龙王	沙龙王	60110	21113;21086;21454;19998;1587		1587		罕见的群居飞龙，鱼龙目。一族中最大的个体称为“王”，对血腥气非常敏感。	1	40	40			1	需求人物等级	40							需求人物等级	40	1									60		60110	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350		10900		
100332	1	1003	1	挑战！沙龙王	狩猎沙龙王	沙龙王	60110	21114;21087;21454;19998;1587		1587		罕见的群居飞龙，鱼龙目。一族中最大的个体称为“王”，对血腥气非常敏感。	2	80	80	1		1	需求人物等级	80							需求人物等级	80	1					70	325			60		60110	302	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4003				90	110	90	110	400	550		10901		
100333	1	1003	15	热海·暗流涌动	狩猎极限态沙龙王	极限态沙龙王	60111	2583;2670;21454			滑沙的少女	滑沙是我的日常运动，像我这样经验老道的选手，竟然在一周内连续两次掉进一个陷坑。不断下坠的时候还有虫群向我扑来，吓死我了！我能感到那种威胁的逼近，请为我找出真相。	3	40	55			1			猎人星级卡片解锁	15084					需求人物等级	40	2									60		60111	302	15			0	1	1.1	1.1	1.4	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100341	1	1003	1	挑战！砂岩龙	狩猎砂岩龙	砂岩龙	60231	21114;21087;21454;19998;1587		1587		有惊人的坚硬外壳的飞龙，会伪装成石头休息或避害。	1	100	100	1		1	需求人物等级	100							需求人物等级	100	1					90	425			60		60231	301	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	110	50	4003				110	130	110	130	500	650		10902		
100342	1	1003	1	挑战！砂岩龙	狩猎砂岩龙	砂岩龙	60231	21115;21118;19995;19998;21454;21451		1587		有惊人的坚硬外壳的飞龙，会伪装成石头休息或避害。	2	60	75			1	需求人物等级	60							需求人物等级	60	1					60	275			60		60231	301	1	10034	任意！砂岩龙	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	70	35	4003				70	90	70	90	300	450				
100343	1	1003	15	斩断无尽的壁垒	狩猎极限态砂岩龙	极限态砂岩龙	60234	21482;21451;21454;1594			滑沙的少女	嗨，还是我！这次和伙伴们在沙漠中的滑沙竞赛，超长的赛道中突然出现一座虫群环绕的巨大壁垒，要不是我及时改道非撞上不可。我听说这是一种怪物，冰属性的远程武器能击破他的弱点，你可以试试看。	3	120	120												需求人物等级	120						120	550			60		60234	301	15			0	1	1	1	1.4	0	1	1	2	0.5	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	130	50					130	150	130	150	600	750				
100344	1	1003	4	虚实！砂之伪装者！	狩猎砂岩龙	砂岩龙	60231	19995;16002;21454;21451;19998;1587				有惊人的坚硬外壳的飞龙，会伪装成石头休息或避害。	2	60	75			1	需求人物等级	60							需求人物等级	60	2					60	275			60		60231	301	4			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	70	35					70	90	70	90	300	450				
300301	1	1003	30	猎人挑战赛第一季	狩猎所有大型目标	沙龙王	60011;60110;60100	21454;19998				利用极限的环境战胜怪物吧！	2	40	40												需求人物等级	40								301		20		60011;60110;60100	303	30			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100401	1	1004	1	试炼！毒怪鸟	狩猎毒怪鸟	毒怪鸟	60070	21113;21086;21454;19998;1587		1587		能够在额头发出闪光和喷出毒素的鸟龙种，攻击性极强且狡诈。	1	40	40	1		1	需求人物等级	40							需求人物等级	40	1									60		60070	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350		10903		
100402	1	1004	1	挑战！毒怪鸟	狩猎毒怪鸟	毒怪鸟	60070	21114;21087;21454;19998;1587		1587		能够在额头发出闪光和喷出毒素的鸟龙种，攻击性极强且狡诈。	2	80	80			1	需求人物等级	80							需求人物等级	80	1					70	325			60		60070	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4004				90	110	90	110	400	550		10904		
100403	1	1004	15	饮鸩止渴	狩猎极限态毒怪鸟	极限态毒怪鸟	60073	2577;2669;21454			来自雪域的修行僧	向着光明的方向前进是我的志向，为此我进行了艰苦卓绝的修行。这修行的最后一步就是找到那光明的源头，哪怕行过剧毒深潭也在所不惜。如果你愿意背着我过去的话，一定能累积无上的功德……	3	40	55			1			猎人星级卡片解锁	15056					需求人物等级	40	2									60		60073	401	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100404	1	1004	46	奇烈！毒怪鸟	狩猎毒怪鸟	毒怪鸟	60070	21478			西撒	毒怪鸟受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60070	401	46			0	1	1.2	1.2	2	0	1	1	2	1	0	1.5	1.5	1.5	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100411	1	1004	1	试炼！桃毛兽王	狩猎桃毛兽王	桃毛兽王	60080	21113;21086;21454;19998;1587		1587		极其好斗，会把栖息地破坏殆尽的牙兽种，首领为群体中最大最强的个体，尤其贪吃。	1	30	30	1		1	需求人物等级	30							需求人物等级	30	1									60		60080	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	40	0					40	60	40	60	150	300		10905		
100412	1	1004	1	挑战！桃毛兽王	狩猎桃毛兽王	桃毛兽王	60080	21114;21087;21454;19998;1587		1587		极其好斗，会把栖息地破坏殆尽的牙兽种，首领为群体中最大最强的个体，尤其贪吃。	2	80	80	1		1	需求人物等级	80							需求人物等级	80	1					70	325			60		60080	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45	4004				90	110	90	110	400	550		10906		
100413	1	1004	15	神奇魔力菇	狩猎极限态桃毛兽王	极限态桃毛兽王	60082	2579;2671;21454			王立猎团副官	在下发现了一种食用后能巨大化的菌，咳咳，别想歪！这菌类对猎团实力提升应该很有益处。但是等我再去找寻那种菌类的时候，却发现已经被采食精光！不可原谅，阁下请一定要找到罪魁祸首。	3	40	55			1			猎人星级卡片解锁	15056					需求人物等级	40	2									60		60082	401	15			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100414	1	1004	46	奇烈！桃毛兽王	狩猎桃毛兽王	狩猎桃毛兽王	60080	21478			西撒	桃毛兽王受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60080	401	46			0	1	1.2	1.2	1.5	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100421	1	1004	1	试炼！大名盾蟹	狩猎大名盾蟹	大名盾蟹	60100	21113;21086;21454;19998;1587		1587		常见的水生甲壳种，经历了多次褪壳后的个体会长得尤为巨大。	1	50	50	1		1	需求人物等级	50							需求人物等级	50	1									60		60100	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	60	30					60	80	60	80	250	400		10907		
100422	1	1004	1	挑战！大名盾蟹	狩猎大名盾蟹	大名盾蟹	60100	21114;21087;21454;19998;1587		1587		常见的水生甲壳种，经历了多次褪壳后的个体会长得尤为巨大。	2	85	85			1	需求人物等级	85							需求人物等级	85	1					75	350			60		60100	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	95	47	4004				95	115	95	115	425	575		10908		
100423	1	1004	15	比叡山的火攻	狩猎极限态大名盾蟹	极限态大名盾蟹	60101	2580;2667;21454			好勇斗狠的奇面族	嘎咔！嘎咔咔——以下为翻译内容：“我和我的族人用火把围攻一只盾蟹，没想到它居然跑掉了，现在它顶着黑烟满地乱窜，你快帮我们抓回来！蟹脚归你！”	3	40	55			1			猎人星级卡片解锁	15084					需求人物等级	40	2									60		60101	401	15			0	1	1.1	1.1	1.4	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	50	0					50	70	50	70	200	350				
100424	1	1004	46	奇烈！大名盾蟹	狩猎大名盾蟹	大名盾蟹	60100	21478			西撒	大名盾蟹受到了不明辐射产生了变异，变得比原来更加强大更可怕了。	3	90	95			1	需求人物等级	90							需求人物等级	90						90	425			20		60100	401	46			0	1	1.2	1.2	2	0	1	1	2	1	0	1.5	1.5	1.5	1	0	0	0	0	0	0	1	1	1	1	1	100	50		1			100	120	100	120	450	600				
100431	1	1004	1	挑战！霞龙	讨伐霞龙	霞龙	60330	21114;21087;21454;19998;1587				目击数极少的古龙。原因是它有可以随意消失的能力。虽然这么说但是消息不明，也有说它受到冲击就会显形。	1	110	110	1		1	需求人物等级	110							需求人物等级	110	1					100	475			60		60330	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	120	50					120	140	120	140	550	700		10909		
100432	1	1004	1	挑战！霞龙	讨伐霞龙	霞龙	60330	21115;21118;21463;19998;21454;21451				目击数极少的古龙。原因是它有可以随意消失的能力。虽然这么说但是消息不明，也有说它受到冲击就会显形。	2	70	85			1	需求人物等级	70							需求人物等级	70	1					70	325			60		60330	401	1			0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	80	40					80	100	80	100	350	500				
100433	1	1004	4	幻影大盗	讨伐霞龙	霞龙	60330	21463;21454;21451;19998;1587				目击数极少的古龙。原因是它有可以随意消失的能力。虽然这么说但是消息不明，也有说它受到冲击就会显形。	2	80	100			1	需求人物等级	80							需求人物等级	80	2					80	375			60		60330	401	4			0	1	1	1	1.2	0	1	1	2	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	90	45					90	110	90	110	400	550				
100434	1	1004	41	S·幻影大盗	讨伐霞龙	霞龙	60330	21463;21454;21451;19998;1587				目击数极少的古龙。原因是它有可以随意消失的能力。虽然这么说但是消息不明，也有说它受到冲击就会显形。	3	80	100			1			多关卡评价解锁	100433	2				需求人物等级	80	2									60		60330	401	41			0	1	1	1	1.15	0	1	1	2	1	0	0.96	1.25	1.25	1	0	0	0	0	0	0	1	1	1	1	1	90	45					90	110	90	110	400	550				
