#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
11	"<b>分类</b>\n作为最强的牙兽种怪物，人们对金狮子可以说是敬畏有加，“雷兽”、“狂王”，从人们对金狮子别样的称呼中，就能够深切的体会到金狮子无与伦比的强大之处。然而，实际上人们目击到金狮子的次数非常之少，因此也为金狮子蒙上了一层极其神秘的色彩。\n\n<b>生境范围</b>\n雪山、火山、森丘地区均有目击报告。有说法认为，金狮子以近乎于“流浪”的方式生活着，所以并不能完全确定这种生物定居在何种环境之下。\n\n<b>生态位</b>\n事实上，金狮子强大的能力使自身几乎成为了位于巅峰的掠食者。先天强大的体能允许他猎杀任何比他们小或比他们大的动物，加之迅捷的行动和蛮横的实力，令金狮子的研究观察一度陷入到停滞的境地。\n\n<b>适应性</b>\n金狮子在通常状态下全身体毛呈现为黑色，而当他一旦进入兴奋状态，体毛就会转为金色，并且竖立起来。在这种状态下，金狮子的攻击性和力量将呈现出几何级数的上升，从而给他的对手留下无法磨灭的惨痛回忆。\n\n<b>行为</b>\n暴躁的金狮子不仅擅长使用各种近身攻击，来对付接近的敌人，在远处，他会使用破坏死光将目标彻底摧毁。作为顶级掠食者，金狮子的攻击性会随着体毛颜色的变化而增强，一旦变为金色，其战斗力也将是正常状态的数倍乃至数十倍。拥有如此强大破坏力的金狮子，其本身的敏捷性也是丝毫不弱，通过快速的变向跳跃迷惑对手，然后出其不意的将对手击倒在地，也是金狮子的拿手好戏。"
12	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n森丘，林地。\n\n<b>生态位</b>\n感官敏锐，行动迅速的小型食肉龙，集团行动怪物的典范。虽然身形不算特别强壮却能够狩猎比自己大上数倍的猎物，主要是依靠锐利的爪牙和出色的合作意识。\n\n<b>适应性</b>\n在一群蓝速龙中，最强大的领导者被称为“王”，富有组织狩猎大型猎物和在敌人侵犯时守护龙群的职责，为此，其体型比自己的部下要大上许多，并且以艳丽的头冠作为象征。蓝速龙的群落从数头到数百头不等，特别庞大的族群可能由复数的“王”领导，但通常来说一个蓝速龙群只有一个“王”，成员数量也控制在20头上下。\n\n<b>行为</b>\n蓝速龙王的攻击方式，因其独特的领导地位而发生了显著的变化。更加多变的跳跃回避可以迷惑对手并产生破绽，猛然的前扑跳跃则会造成巨大的杀伤——这还不是他最拿手的，当他寡不敌众，便会找寻机会，呼号召唤更多的同伴，对猎物进行围剿。"
13	"<b>分类</b>\n鸟龙种，一度被划分入速龙中的独行种。\n\n<b>生境范围</b>\n主要栖息地在沼泽与林地，火山区域也有发现。\n\n<b>生态位</b>\n与其他速龙种不同，红速龙没有锋锐的牙齿和前爪。他们的头部硕大，表皮鳞片稀少，喉部长有分泌毒液的腺体，能向敌人喷射毒雾，趁其虚弱后将其捕猎。红速龙的毒性十分强烈，甚至连他们的天敌都忌惮不已。\n\n<b>适应性</b>\n凭借隔热性能优良的外皮，就算是环境恶劣的火山地区，红速龙群也可以生存，这与他们自身能够抵抗毒液侵蚀的强韧生命力有关。\n红速龙种群中的领袖红速龙王，被称为 “速龙群中的顶点”。其身形强健，异常硕大的头冠是王者的象征。\n\n<b>行为</b>\n除了可怕的毒液攻势，红速龙王的坚韧程度也不可小觑。他们隐秘的行动方式，往往给予醉心于狩猎大型怪物的猎人们，出其不意的沉重一击。"
14	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n常见于高纬度寒冷地带。\n\n<b>生态位</b>\n和其他速龙同为群居型，擅长以数量优势狩猎体型庞大的生物。\n\n<b>适应性</b>\n和蓝速龙一样同属鸟龙种，有着白色的表皮。由于外形太过类似，一度被认作是蓝速龙的特殊个体。\n白速龙王是白速龙群中的领袖，头上巨大的蓝绿色头冠和尖锐的大爪都是明显特征。口中吐出的冰液能够瞬间将猎物冻住。\n\n<b>行为</b>\n白速龙王的攻击方式与其他速龙比较相似，利用多变的跳跃回避与前扑在攻守之间快速切换，借此迷惑对手并使其产生破绽，更有能将猎物冻结的招牌技能。此外，作为白速龙的王，经常会寻找机会呼唤更多的同伴来围剿目标。"
15	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n沙漠地区。\n\n<b>生态位</b>\n黄速龙有着黄褐色的表皮，尖锐的牙齿和利爪。与蓝速龙同样属于鸟龙种，行动模式也很接近的小型食肉龙。\n\n<b>适应性</b>\n在沙漠等环境更为常见，比起采取“突袭”的蓝速龙更倾向设下埋伏圈后伏击猎物，加上能够分泌致使生物神经麻痹毒素的利齿，狩猎规模和成功率都在蓝速龙之上，甚至曾经有数千头黄速龙聚集起来围攻商队的记录。同样的，拥有巨大头冠的黄速龙族群领袖，也是被称为“王”的大体型成员。\n\n<b>行为</b>\n黄速龙王的麻痹是他最大的杀招，一旦猎人进入麻痹状态，会极大的限制行动。而他呼唤来的黄速龙也需要小心应对，被群起围攻时会很难逃脱。黄速龙王的沙尘袭击会对猎人的视线造成影响。"
16	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n杂食性，活动范围很广并且繁殖能力极强。\n\n<b>生态位</b>\n被猎人们戏称为“教官”，得到这种称呼主要是因为其数量足够多以外，相对其他更加凶暴的怪物来说危险性也较低的关系。\n\n<b>适应性</b>\n大怪鸟自身也是一种较为胆小的怪物，不过因为其非常容易紧张，往往会神经质地主动袭击无害的对手。有些学者认为这是因为大怪鸟那招牌式的巨大耳廓会把周围的声音数十倍地放大，因此哪怕没有敌意的举动也会引起大怪鸟的激烈反应。\n\n<b>行为</b>\n大怪鸟的攻击以猛冲和火球喷吐为主，其身体正前方区域都处于他的攻击范围之中。远距离时，他的快速突进，近身时，他的啄击都会对猎人造成不小的威胁。"
17	"<b>分类</b>\n鸟龙种，大怪鸟亚种。\n\n<b>生境范围</b>\n森丘，与大怪鸟的生境范围重合。\n\n<b>生态位</b>\n通常认为青怪鸟是大怪鸟的老年体，但是近来也有学士认为青怪鸟是大怪鸟为了适应环境而产生的自我演化。不论如何，青怪鸟拥有比大怪鸟更强大的攻击欲望和破坏力已经是不争的事实。\n\n<b>适应性</b>\n青怪鸟听觉似乎也比大怪鸟更加敏锐，特别是对“节奏”有着异常的感受性。很多猎人都回报说，讨伐青怪鸟时发现青怪鸟因为周围地区的音乐节奏而进入亢奋状态，战斗力大幅提升并且对痛苦无所畏惧。\n\n<b>行为</b>\n青怪鸟相比大怪鸟更具攻击性，在与他战斗时，乱入的奇面族将会打断猎人的狩猎节奏。而更加频繁的攻击和快速的动作，都会让猎人陷入不利的境地。"
18	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n常见于潮湿温暖地区，沼地、密林都有目击记录。\n\n<b>生态位</b>\n与大怪鸟同为杂食性鸟龙种，活跃在沼地的毒怪鸟喜爱捕食飞虫。\n\n<b>适应性</b>\n毒怪鸟喜欢收集闪光的物体，全身充满着迷团和令人惊叹的多项生理特点。例如橡胶般质地，对冲击抗力良好的表皮。名为“毒袋”，使其能够吐出剧毒液体的器官，以及在脑部的腺体中能够分泌出使生物兴奋而忽略疲劳和疼痛的“狂走浸出物”等等。而其中最为吸引人的特征，乃是头上的结晶体，在和喙部撞击后能够爆发出猛烈的闪光，短时间内夺走周围生物的视力，但这种生理机制是如何进化出来的至今还是一个谜。\n\n<b>行为</b>\n毒怪鸟生性极端狡诈，似乎在本能中就掌握着对抗猎人的种种诀窍，绝对不可轻忽大意。闪光是他最让人头疼的招式，大范围的闪光会让猎人直接进入眩晕状态，而他的毒球和甩尾也是必须小心应对的招式，作为狡诈的怪物，毒怪鸟甚至会用假死来欺骗对手。"
19	"<b>分类</b>\n鸟龙种，毒怪鸟亚种。\n\n<b>生境范围</b>\n密林和沼泽，偶有目击记录。\n\n<b>适应性</b>\n紫毒鸟具有的不仅仅是比毒怪鸟更加强壮的身体和更危险的毒性，智能也明显更高，他们的头部冠状器官虽然能够和毒怪鸟一样发出闪光，但紫毒鸟能够发出数种不同颜色和强度的闪光，还能够将其当作“交流器官”，以闪光来传达自己的意图，这种习性很难相信是毒怪鸟所能够具有的。\n\n<b>行为</b>\n紫毒鸟的闪光更具欺骗性，在跑动的途中也会突然停下释放。而范围极大的毒液，总是让猎人们无所适从，陷入进退两难的地步。"
20	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n栖息在沙漠地区。\n\n<b>适应性</b>\n沙雷鸟的最早被确认目击报告时，猎人公会认为其只是感染了癫狂症的大怪鸟而未给予足够重视。直到前往讨伐且损失惨重的猎人们带回更多的生态描述后，富有经验的学士们才意识到自己的错误。沙雷鸟是一种不折不扣的新物种，他们的翅膀因为某种不明的原因而退化，取而代之是能够在沙地高速奔跑的蹼爪和能够完全隔热的坚硬外皮。而沙雷鸟之所以得名，源自于他独特的分泌物“雷油”，这种透明的液体一旦遭遇强烈震动就会引发爆炸，沙雷鸟经常会把他们和沙漠干燥的砂石混合，布置在自己领地周围。以为沙雷鸟只是普通大怪鸟而轻视他的第一支讨伐队伍不慎在潜伏时踩中了这些东西，吃了大亏，心有余悸地称呼他们为“沙雷”。\n\n<b>行为</b>\n沙雷鸟血管中涌动着极强的破坏欲，几乎会无差别攻击和伤害一切进入自己领地的生物，特别是对于会飞行的东西更是不死不休。沙雷鸟体内的雷油和沙子混合，就会形成“沙雷”，这也是他的主要攻击手段，直接埋进沙中的沙雷或是甩向空中的沙雷炮击都会让猎人难以防范。"
21	"<b>分类</b>\n鸟龙种，沙雷鸟亚种。\n\n<b>生境范围</b>\n高纬度寒冷地带，雪山区域偶有发现。\n\n<b>适应性</b>\n冰雷鸟是极其罕见的沙雷鸟突变性亚种，他和沙雷鸟一样会在体内分泌能够引发爆炸的雷油，但他们的雷油却仅仅在低温环境下才能引起爆炸——同时，这种爆炸还会高速夺走周围空气与物体的温度，将一切都冻结住。\n根据一些学者的推断，两种生物的差别在于体内某种酶的水平，这种酶数量若多，沙雷鸟分泌出的雷油就容易爆发，且会对沙雷鸟的神经系统造成一种长效性的兴奋刺激作用。而冰雷鸟体内几乎没有这种酶，因此他们的雷油所引发的爆炸只能发生在低温环境，同时，也让冰雷鸟成为更加狡猾，富有策略的对手。\n\n<b>行为</b>\n冰雷鸟擅长使用冰雷进行攻击，由于冰雷爆炸时会急速夺取周围的热量，猎人一旦被击中，就会陷入到冰结状态，无法动弹，因此请时刻关注冰雷的动向。而他的飞跃强袭，更是能在极短的时间内突进到猎人身边，即使拉开了距离，也请不要掉以轻心。"
22	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n密林、湖地均有活跃记录。\n\n<b>生态位</b>\n眠鸟是一种非常独特的鸟龙种，性格谨慎，多疑而容易受到惊吓。但是他们绝非温顺的生物，过度敏感的神经质让眠鸟经常主动袭击不慎进入其领地的人类。比起同样属于鸟龙种的大怪鸟，眠鸟的机动性更高，同时具有惊人的脚力和跳跃力。\n\n<b>适应性</b>\n眠鸟的招牌攻击就是吐出催眠的气体，使敌人睡着后逃之夭夭或乘隙攻击。特别值得注意的是，为了求偶和夸耀族群地位，眠鸟是一种对自己的外形相当重视的生物，一旦其发现自己外貌受损，很容易进入狂暴状态。\n\n<b>行为</b>\n眠鸟的眠气会让猎人在极短的时间内就进入睡眠状态，而各种突进和啄击则是鸟龙种怪物的招牌技能。小心躲开眠气，眠鸟并不难应付。"
23	"<b>分类</b>\n鸟龙种，眠鸟的稀少种。\n\n<b>生境范围</b>\n密林，由于几乎只在夜间出现，而且性格相比原种更为稳健与老道，所以少有目击报告。\n\n<b>适应性</b>\n很多猎人认为所有银色眠鸟是发育成熟到一定阶段的眠鸟。但王立学者认为，这些银色眠鸟都源自一个特殊的眠鸟血系，也即是传说中当眠鸟还是群居性生物时，往往属于领袖的那一支，当然这种略带浪漫的说法，目前仍是一种假说。\n银色眠鸟的力量凌驾于他们平凡的同类之上，特别是那标志性的强大脚力——原本眠鸟的机动性在鸟龙种就极为优异，而银色眠鸟则更是能够跳出更高的高度，甚至能够垂直起跳立刻落下攻击、或者以连续跳跃的方式追击猎物。他们的催眠气体效力也比眠鸟更强，加上其性格谨慎，懂得避开猎人，狩猎难度与普通眠鸟不可同日而语。\n\n<b>行为</b>\n基于银眠鸟强劲的脚力，银眠鸟会从各个角度发起立体攻势。而他的眠气喷吐相比眠鸟范围更大，花样更多。猎人在狩猎时，还请千万注意！"
24	"<b>分类</b>\n鸟龙种，眠鸟独行种。\n\n<b>生境范围</b>\n由于生境范围与原种重合度较高，金眠鸟一度被认作是眠鸟的特异个体。随着发现数量的增多，才被划分为眠鸟的独行种。\n\n<b>生态位</b>\n金眠鸟的发现绝非偶然，那一身光华璀璨的金色羽毛，令无数猎人趋之若鹜。分析金眠鸟的食谱后不难发现，除了眠鸟爱吃的睡眠草外，金眠鸟捕食艾斯特湖地中的一种金色蟾蜍，摄入越多，羽色就越鲜亮。\n\n<b>适应性</b>\n尽管金羽令人极为向往，但是金眠鸟被狩猎的记录却非常有限。究其原因，除了拥有比原种更加凶暴的攻击力，金眠鸟喷吐的睡眠瓦斯还附带有一些可怕的“后遗症\"。人类一旦吸入后，会产生各式各样的幻觉，其中被报告最多的就是视觉中的方向倒置。对身体完全失去控制后，从金眠鸟脚爪中生还的可能就变得微乎其微了。生化学者们解析这种气体的成分，除已知的东莨箬碱外，还发现了一种蟾毒色胺，其药理作用可阻断神经反射，是致幻的主要成因。\n\n<b>行为</b>\n在眠鸟的种属中，金眠鸟拥有极为可怕的攻击性，他那强有力的脚爪和狂躁的个性，对猎人们的生命构成极大威胁。最可怕的当然还是睡眠瓦斯的致幻效果，因为你根本不知道等待你的到底是什么幻觉画面。"
25	"<b>分类</b>\n鸟龙种。\n\n<b>生境范围</b>\n黑狼鸟并无固定的栖息地，目前比较高频率的发现在密林与森丘出现。\n\n<b>生态位</b>\n在鸟龙种中具有最高的攻击性，甚至会主动离开其领地，侵入其他巨大怪物的栖息地来寻求战斗的独特生物。作为林地的主要掠食者，捕食对象通常是精灵鹿、香菇猪等，偶尔也会以盾蟹为食。\n\n<b>适应性</b>\n迄今为止人类所收集到的，针对黑狼鸟的繁殖、抚育后代的资料还是相当稀少，不过对其好战习性倒是有相当详尽的报告。根据调查得知，黑狼鸟的夜视能力非常优越，加上能帮助其夜间狩猎的深紫色外壳，使得这类掠食者很难在黑夜中被人察觉。黑狼鸟显然比大怪鸟更擅长投掷火球，他们的大耳朵和大怪鸟比起来缺乏声纳采样的扇装结构，因此能够更好地避免声波带来的影响，不像大怪鸟会受到音爆弹作用产生硬直。这对大耳朵能够帮助他从很远的距离听到猎物的声音，也同样有着作为头部的散热器管的功能。\n\n<b>行为</b>\n黑狼鸟会主动学习一些飞龙种的战斗方式，既能像鸟龙种那样啄击，也会像飞龙种那样利用尾巴在空中挥击。其演化出最罕有的特性是令人吃惊的高智能，较为明显的例子是他能够躲开一些特定的陷阱。这些好斗的鸟龙在战斗中往往斗志高昂，随时可能进入最危险的暴怒状态，甚至不惜自己受伤也要攻击对手。他们的吼叫和火焰喷吐远远超过近亲大怪鸟的级别，特别是吼叫声的破坏力甚至能够与飞龙种媲美。"
26	"<b>分类</b>\n鸟龙种，黑狼鸟特异个体。\n\n<b>生境范围</b>\n目前仅在旧王陵寝附近，存有个位数的目击报告。\n\n<b>适应性</b>\n所谓“单耳”的特异个体，其凶暴度和破坏性远远凌驾于没有伤残的同类。"
27	"<b>分类</b>\n甲壳种。\n\n<b>生境范围</b>\n行踪隐秘的鬼狩蛛，被认为喜欢在气温与湿度适中的洞窟内编织巢穴。\n\n<b>生态位</b>\n阴暗与潮湿的洞穴是鬼狩蛛的掠食场，他们会编织粘性和韧性极强的丝网，等待那些迷失归途的小动物一头撞入。捕食对象通常以飞虫为主，偶尔也有小型牙兽种不幸中招。\n\n<b>适应性</b>\n在希美伦山系深处的密林中狩猎的猎人，时常会发现一些特别坚韧的丝线和巨大的蛛网，有时甚至还会在里面发现大型怪物的遗骸。但是耐人寻味的是，几乎从没有人亲眼见过这些网的编织者。直到近期，一名大胆的女学士在一行老练猎人的保护下，探明了这种生物的真相——一种巨大的异型蜘蛛，属于甲壳种但具体分类不明。他们神出鬼没，能够以蛛网束缚目标并且用尖利的前爪进行切割。而恐怖的外貌和神秘的习性，也让他们在一些兽人的文明中，被当作神来崇拜。\n\n<b>行为</b>\n鬼狩蛛因其后背诡异的纹理而得名，其主要用作攻击的手段与蛛丝密不可分。他的普通攻击招式往往不具威胁，但是结合蛛丝使用，不仅机动性大增，更是会让猎人陷入动弹不得的窘境，从而无法避开他后续的攻势。"
28	"<b>分类</b>\n甲壳种，鬼狩蛛的交配时期。\n\n<b>生境范围</b>\n沼泽、密林洞穴均有发现。\n\n<b>生态位</b>\n与具有耐心，隐居于安全地区猎捕猎物的鬼狩蛛相比，他们是更加专业与狂暴的杀戮者。\n\n<b>适应性</b>\n普通的鬼狩蛛就能够吐丝束缚猎物再加以袭击——而骇狩蛛能够分泌出两种危险的毒素——一种能够麻痹猎物，而另外一种直接致命，并且以尖锐钩丝的形式将这些毒素添加到自己织出的网上。如此，当他们将网前后射出抓捕猎物时成功率比鬼狩蛛更高，他们也因此不必在固定地区织网而到处游荡，危险性倍增。而除去这个有效的攻击手段之外，骇狩蛛的行动远较鬼狩蛛更强，攻击时的力量也更大。\n\n<b>行为</b>\n骇狩蛛的攻击模式相比鬼狩蛛更加多样，他吐出的丝线设置还带有麻痹和中毒效果，因此猎人在狩猎时需要格外注意他吐出蛛丝的颜色，同时还要防备从天而降的蛛网。"
